sim_time,agent_id,agent_speed,agent_acc,agent_jerk,agent_collision
73.2,rl_0,13.89,4.0,0.0,43
73.6,rl_0,13.89,4.0,0.0,43
74.0,rl_0,13.89,4.0,0.0,43
74.4,rl_0,13.89,4.0,0.0,43
74.8,rl_0,13.89,4.0,0.0,43
75.2,rl_0,13.89,4.0,0.0,43
75.6,rl_0,13.89,4.0,0.0,43
76.0,rl_0,13.89,4.0,0.0,43
76.4,rl_0,13.791442867828836,4.0,-0.6159820760697765,43
76.8,rl_0,13.692885735657672,4.0,0.0,43
77.2,rl_0,12.99848255802386,4.0,-3.724037784141554,44
77.6,rl_0,12.304079380390046,4.0,0.0,45
78.0,rl_0,11.104079380390047,4.0,-3.159980139788665,46
78.4,rl_0,9.904079380390048,4.0,0.0,47
78.8,rl_0,8.704079380390048,4.0,0.0,48
79.2,rl_0,7.504079380390049,4.0,0.0,49
79.6,rl_0,6.519570610167863,4.0,1.3468201861113305,50
80.0,rl_0,5.535061839945676,4.0,0.0,51
80.4,rl_0,6.642282200096754,4.0,13.0733070648329,52
80.8,rl_0,6.79,4.0,-5.996891001548948,53
81.2,rl_0,6.79,4.0,-0.9232362493952873,54
81.6,rl_0,6.79,4.0,0.0,54
82.0,rl_0,7.984951154903315,4.0,7.468444718145717,54
82.4,rl_0,9.179902309806629,4.0,-5.551115123125783e-15,54
82.8,rl_0,10.22720782410243,4.0,-0.9227852537969483,54
83.2,rl_0,11.274513338398233,4.0,0.0,54
83.6,rl_0,11.274513338398233,4.0,0.0,54
